E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
306.8,275,306.8,204,306.8,235,306.8,257,306.8,279,306.8,252,306.8,279,306.8,265
309.6,258,309.6,203,309.6,205,309.6,245,309.6,216,309.6,237,309.6,237,309.6,240
312.4,260,312.4,178,312.4,215,312.4,233,312.4,266,312.4,249,312.4,231,312.4,253
315.3,257,315.3,191,315.3,223,315.3,229,315.3,279,315.3,246,315.3,257,315.3,257
318.1,242,318.1,199,318.1,190,318.1,225,318.1,221,318.1,269,318.1,204,318.1,213
321,240,321,165,321,223,321,238,321,222,321,241,321,209,321,222
323.8,241,323.8,175,323.8,230,323.8,225,323.8,230,323.8,246,323.8,228,323.8,218
326.6,201,326.6,177,326.6,200,326.6,186,326.6,212,326.6,210,326.6,187,326.6,216
329.5,211,329.5,177,329.5,193,329.5,213,329.5,206,329.5,193,329.5,216,329.5,160
332.3,208,332.3,216,332.3,211,332.3,215,332.3,206,332.3,189,332.3,214,332.3,188
335.1,176,335.1,212,335.1,194,335.1,210,335.1,216,335.1,182,335.1,222,335.1,175
338,188,338,191,338,177,338,194,338,196,338,210,338,173,338,174
340.8,163,340.8,187,340.8,177,340.8,208,340.8,185,340.8,227,340.8,150,340.8,184
343.7,167,343.7,184,343.7,166,343.7,178,343.7,198,343.7,200,343.7,162,343.7,149
346.5,153,346.5,167,346.5,196,346.5,183,346.5,180,346.5,203,346.5,184,346.5,165
349.3,157,349.3,174,349.3,177,349.3,181,349.3,178,349.3,182,349.3,170,349.3,165
352.2,140,352.2,154,352.2,178,352.2,214,352.2,176,352.2,185,352.2,188,352.2,167
355,138,355,162,355,176,355,157,355,152,355,156,355,176,355,157
357.8,138,357.8,131,357.8,172,357.8,172,357.8,192,357.8,163,357.8,153,357.8,138
360.7,143,360.7,148,360.7,171,360.7,168,360.7,170,360.7,182,360.7,142,360.7,147
363.5,144,363.5,154,363.5,177,363.5,185,363.5,164,363.5,150,363.5,169,363.5,133
366.3,127,366.3,138,366.3,183,366.3,178,366.3,179,366.3,153,366.3,141,366.3,153
369.2,132,369.2,162,369.2,156,369.2,169,369.2,162,369.2,171,369.2,144,369.2,151
372,121,372,145,372,171,372,168,372,163,372,146,372,135,372,125
374.9,118,374.9,151,374.9,153,374.9,172,374.9,163,374.9,149,374.9,152,374.9,133
377.7,126,377.7,127,377.7,151,377.7,164,377.7,139,377.7,162,377.7,139,377.7,135
380.5,122,380.5,140,380.5,166,380.5,155,380.5,138,380.5,156,380.5,138,380.5,137
383.4,117,383.4,144,383.4,161,383.4,168,383.4,155,383.4,138,383.4,128,383.4,118
386.2,126,386.2,138,386.2,167,386.2,156,386.2,131,386.2,156,386.2,135,386.2,128
389,117,389,137,389,143,389,168,389,165,389,141,389,137,389,136
391.9,103,391.9,137,391.9,136,391.9,173,391.9,146,391.9,141,391.9,118,391.9,131
394.7,114,394.7,138,394.7,158,394.7,182,394.7,147,394.7,141,394.7,122,394.7,121
