E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2
1200.1,57,1200.1,254
1203.4,34,1203.4,211
1206.8,42,1206.8,197
1210.2,36,1210.2,177
1213.6,26,1213.6,159
1217,32,1217,147
1220.4,21,1220.4,159
1223.7,17,1223.7,115
1227.1,18,1227.1,112
1230.5,10,1230.5,115
1233.9,11,1233.9,91
1237.3,7,1237.3,95
1240.7,5,1240.7,99
1244,3,1244,101
1247.4,5,1247.4,111
1250.8,3,1250.8,84
1254.2,4,1254.2,92
1257.6,6,1257.6,126
1261,2,1261,88
1264.3,6,1264.3,100
1267.7,9,1267.7,138
1271.1,7,1271.1,101
1274.5,11,1274.5,114
1277.9,8,1277.9,108
1281.3,19,1281.3,137
1284.6,20,1284.6,134
1288,33,1288,160
1291.4,35,1291.4,164
1294.8,31,1294.8,166
1298.2,44,1298.2,158
1301.6,40,1301.6,205
1304.9,1295,1304.9,192
1308.3,47,1308.3,196
1311.7,55,1311.7,220
1315.1,66,1315.1,228
1318.5,68,1318.5,221
1321.9,71,1321.9,241
1325.2,55,1325.2,218
1328.6,69,1328.6,235
1332,79,1332,235
1335.4,64,1335.4,247
1338.8,76,1338.8,220
1342.1,65,1342.1,188
1345.5,57,1345.5,208
1348.9,56,1348.9,169
1352.3,56,1352.3,172
1355.7,41,1355.7,154
1359.1,38,1359.1,163
1362.4,37,1362.4,131
1365.8,31,1365.8,115
1369.2,32,1369.2,107
1372.6,34,1372.6,91
1376,21,1376,90
1379.4,14,1379.4,87
1382.7,15,1382.7,69
1386.1,13,1386.1,72
1389.5,8,1389.5,59
1392.9,4,1392.9,68
1396.3,3,1396.3,78
1399.7,6,1399.7,72
1403,2,1403,79
1406.4,4,1406.4,70
1409.8,3,1409.8,85
1413.2,2,1413.2,98
1416.6,2,1416.6,90
1420,2,1420,101
1423.3,2,1423.3,106
1426.7,0,1426.7,127
1430.1,2,1430.1,117
1433.5,0,1433.5,119
1436.9,4,1436.9,135
1440.3,1,1440.3,143
1443.6,1,1443.6,135
1447,1,1447,136
1450.4,2,1450.4,122
1453.8,2,1453.8,157
1457.2,1,1457.2,127
1460.6,0,1460.6,141
1463.9,2,1463.9,125
1467.3,3,1467.3,118
1470.7,0,1470.7,125
1474.1,0,1474.1,110
1477.5,1,1477.5,120
1480.9,2,1480.9,106
1484.2,1,1484.2,98
1487.6,0,1487.6,71
1491,0,1491,83
1494.4,1,1494.4,63
1497.8,1,1497.8,74
1501.1,2,1501.1,50
1504.5,1,1504.5,44
1507.9,0,1507.9,45
1511.3,0,1511.3,42
1514.7,1,1514.7,35
1518.1,1,1518.1,36
1521.4,0,1521.4,32
1524.8,1,1524.8,33
1528.2,0,1528.2,28
1531.6,0,1531.6,34
1535,0,1535,32
1538.4,1,1538.4,31
1541.7,0,1541.7,31
1545.1,1,1545.1,38
1548.5,2,1548.5,28
1551.9,0,1551.9,34
1555.3,0,1555.3,35
1558.7,1,1558.7,24
1562,0,1562,29
1565.4,0,1565.4,30
1568.8,0,1568.8,29
1572.2,0,1572.2,26
1575.6,1,1575.6,30
1579,0,1579,26
1582.3,1,1582.3,31
1585.7,2,1585.7,22
1589.1,0,1589.1,27
1592.5,1,1592.5,24
1595.9,0,1595.9,19
1599.3,1,1599.3,26
1602.6,0,1602.6,32
1606,1,1606,20
1609.4,1,1609.4,19
1612.8,0,1612.8,26
1616.2,0,1616.2,27
1619.6,0,1619.6,16
1622.9,0,1622.9,23
1626.3,0,1626.3,24
1629.7,0,1629.7,16
1633.1,0,1633.1,21
1636.5,0,1636.5,28
1639.9,0,1639.9,21
1643.2,0,1643.2,15
1646.6,0,1646.6,18
1650,0,1650,23
1653.4,0,1653.4,19
1656.8,1,1656.8,23
1660.1,0,1660.1,16
1663.5,105,1663.5,8291
