E_A#3 / keV,N_A#3,E_A#12 / keV,N_A#12,E_A#13 / keV,N_A#13,E_A#14 / keV,N_A#14,E_A#15 / keV,N_A#15,E_A#16 / keV,N_A#16,E_A#17 / keV,N_A#17,E_A#18 / keV,N_A#18
213.2,1151,213.2,763,213.2,911,213.2,1060,213.2,1102,213.2,1122,213.2,1171,213.2,1144
216,1206,216,777,216,930,216,1066,216,1139,216,1160,216,1124,216,1151
218.8,1167,218.8,767,218.8,914,218.8,1045,218.8,1193,218.8,1082,218.8,1142,218.8,1180
221.7,1129,221.7,727,221.7,893,221.7,1008,221.7,1086,221.7,1032,221.7,1142,221.7,1164
224.5,1082,224.5,732,224.5,938,224.5,988,224.5,1006,224.5,1054,224.5,1024,224.5,1103
227.4,1085,227.4,684,227.4,839,227.4,1036,227.4,1025,227.4,1073,227.4,1012,227.4,1027
230.2,1005,230.2,729,230.2,876,230.2,946,230.2,973,230.2,1030,230.2,1035,230.2,1047
233,1037,233,633,233,822,233,1007,233,1016,233,1049,233,1073,233,1055
235.9,1015,235.9,683,235.9,824,235.9,961,235.9,997,235.9,1039,235.9,1040,235.9,1009
238.7,1142,238.7,664,238.7,810,238.7,851,238.7,981,238.7,1017,238.7,945,238.7,1003
241.5,1039,241.5,678,241.5,826,241.5,904,241.5,993,241.5,999,241.5,999,241.5,1023
244.4,1063,244.4,617,244.4,808,244.4,868,244.4,933,244.4,966,244.4,979,244.4,981
247.2,992,247.2,687,247.2,774,247.2,859,247.2,947,247.2,1009,247.2,934,247.2,982
250,965,250,644,250,745,250,876,250,918,250,918,250,938,250,943
252.9,962,252.9,643,252.9,777,252.9,848,252.9,894,252.9,939,252.9,929,252.9,984
255.7,956,255.7,677,255.7,701,255.7,912,255.7,900,255.7,976,255.7,978,255.7,984
258.6,957,258.6,626,258.6,729,258.6,898,258.6,928,258.6,941,258.6,954,258.6,962
261.4,924,261.4,570,261.4,767,261.4,877,261.4,855,261.4,895,261.4,901,261.4,949
264.2,937,264.2,587,264.2,741,264.2,919,264.2,890,264.2,924,264.2,964,264.2,965
267.1,910,267.1,645,267.1,670,267.1,854,267.1,951,267.1,902,267.1,886,267.1,934
269.9,930,269.9,592,269.9,746,269.9,876,269.9,936,269.9,955,269.9,928,269.9,877
272.7,835,272.7,579,272.7,745,272.7,850,272.7,896,272.7,857,272.7,895,272.7,906
