E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
1310.9,6,1310.9,5,1310.9,4,1310.9,8,1310.9,2,1310.9,3,1310.9,6,1310.9,4,1310.9,7
1313.7,5,1313.7,4,1313.7,3,1313.7,2,1313.7,2,1313.7,3,1313.7,4,1313.7,4,1313.7,7
1316.5,3,1316.5,3,1316.5,6,1316.5,5,1316.5,7,1316.5,6,1316.5,5,1316.5,4,1316.5,2
1319.4,2,1319.4,4,1319.4,3,1319.4,6,1319.4,0,1319.4,7,1319.4,4,1319.4,5,1319.4,6
1322.2,4,1322.2,1,1322.2,6,1322.2,3,1322.2,3,1322.2,4,1322.2,5,1322.2,8,1322.2,9
1325.1,6,1325.1,4,1325.1,2,1325.1,6,1325.1,3,1325.1,8,1325.1,4,1325.1,5,1325.1,5
1327.9,3,1327.9,3,1327.9,3,1327.9,2,1327.9,6,1327.9,2,1327.9,6,1327.9,3,1327.9,5
1330.7,3,1330.7,3,1330.7,7,1330.7,3,1330.7,1,1330.7,4,1330.7,5,1330.7,2,1330.7,8
1333.6,2,1333.6,3,1333.6,3,1333.6,2,1333.6,2,1333.6,7,1333.6,3,1333.6,2,1333.6,4
1336.4,1,1336.4,3,1336.4,6,1336.4,2,1336.4,0,1336.4,4,1336.4,4,1336.4,5,1336.4,5
1339.2,3,1339.2,6,1339.2,4,1339.2,0,1339.2,0,1339.2,2,1339.2,3,1339.2,4,1339.2,4
1342.1,2,1342.1,2,1342.1,2,1342.1,2,1342.1,1,1342.1,0,1342.1,0,1342.1,0,1342.1,2
1344.9,4,1344.9,3,1344.9,1,1344.9,1,1344.9,2,1344.9,3,1344.9,2,1344.9,2,1344.9,2
1347.7,4,1347.7,4,1347.7,4,1347.7,6,1347.7,2,1347.7,2,1347.7,2,1347.7,3,1347.7,5
1350.6,0,1350.6,2,1350.6,5,1350.6,3,1350.6,2,1350.6,3,1350.6,3,1350.6,2,1350.6,3
1353.4,0,1353.4,3,1353.4,1,1353.4,5,1353.4,3,1353.4,1,1353.4,3,1353.4,2,1353.4,2
1356.3,4,1356.3,3,1356.3,2,1356.3,1,1356.3,5,1356.3,7,1356.3,3,1356.3,6,1356.3,2
1359.1,2,1359.1,4,1359.1,1,1359.1,3,1359.1,1,1359.1,3,1359.1,3,1359.1,0,1359.1,0
1361.9,2,1361.9,0,1361.9,2,1361.9,3,1361.9,1,1361.9,4,1361.9,6,1361.9,3,1361.9,2
1364.8,1,1364.8,2,1364.8,1,1364.8,0,1364.8,1,1364.8,0,1364.8,4,1364.8,2,1364.8,2
1367.6,0,1367.6,2,1367.6,0,1367.6,5,1367.6,6,1367.6,1,1367.6,4,1367.6,2,1367.6,4
1370.4,2,1370.4,1,1370.4,2,1370.4,0,1370.4,0,1370.4,2,1370.4,1,1370.4,1,1370.4,2
1373.3,2,1373.3,1,1373.3,0,1373.3,3,1373.3,0,1373.3,1,1373.3,2,1373.3,0,1373.3,0
1376.1,2,1376.1,2,1376.1,2,1376.1,2,1376.1,1,1376.1,2,1376.1,2,1376.1,0,1376.1,1
1378.9,1,1378.9,1,1378.9,0,1378.9,0,1378.9,3,1378.9,1,1378.9,1,1378.9,6,1378.9,1
1381.8,1,1381.8,4,1381.8,0,1381.8,1,1381.8,3,1381.8,3,1381.8,1,1381.8,1,1381.8,1
1384.6,0,1384.6,0,1384.6,1,1384.6,1,1384.6,2,1384.6,1,1384.6,2,1384.6,0,1384.6,1
1387.5,0,1387.5,0,1387.5,1,1387.5,0,1387.5,2,1387.5,1,1387.5,0,1387.5,1,1387.5,1
1390.3,3,1390.3,1,1390.3,0,1390.3,0,1390.3,0,1390.3,0,1390.3,1,1390.3,0,1390.3,3
1393.1,291,1393.1,238,1393.1,277,1393.1,256,1393.1,275,1393.1,264,1393.1,286,1393.1,288,1393.1,273
