E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
196.2,1343,196.2,280,196.2,393,196.2,564,196.2,733,196.2,827,196.2,910,196.2,980,196.2,1039
199,1333,199,264,199,390,199,531,199,701,199,754,199,867,199,934,199,1055
201.8,1341,201.8,257,201.8,387,201.8,484,201.8,679,201.8,724,201.8,893,201.8,965,201.8,1003
204.7,1251,204.7,261,204.7,338,204.7,528,204.7,724,204.7,768,204.7,817,204.7,918,204.7,1054
207.5,1183,207.5,270,207.5,363,207.5,488,207.5,693,207.5,748,207.5,829,207.5,894,207.5,982
210.3,1221,210.3,250,210.3,369,210.3,476,210.3,697,210.3,758,210.3,847,210.3,881,210.3,1060
213.2,1151,213.2,247,213.2,365,213.2,446,213.2,695,213.2,693,213.2,794,213.2,899,213.2,939
216,1206,216,274,216,348,216,493,216,690,216,749,216,805,216,914,216,1039
218.8,1167,218.8,251,218.8,338,218.8,503,218.8,737,218.8,718,218.8,758,218.8,806,218.8,1002
221.7,1129,221.7,221,221.7,318,221.7,455,221.7,695,221.7,683,221.7,751,221.7,871,221.7,996
224.5,1082,224.5,230,224.5,304,224.5,498,224.5,695,224.5,572,224.5,809,224.5,788,224.5,918
227.4,1085,227.4,240,227.4,335,227.4,467,227.4,639,227.4,639,227.4,766,227.4,787,227.4,887
230.2,1005,230.2,218,230.2,280,230.2,456,230.2,659,230.2,688,230.2,770,230.2,772,230.2,901
233,1037,233,249,233,311,233,442,233,601,233,634,233,786,233,838,233,852
235.9,1015,235.9,181,235.9,298,235.9,409,235.9,591,235.9,671,235.9,724,235.9,761,235.9,948
238.7,1142,238.7,221,238.7,272,238.7,413,238.7,630,238.7,636,238.7,752,238.7,822,238.7,878
241.5,1039,241.5,221,241.5,303,241.5,421,241.5,639,241.5,611,241.5,729,241.5,831,241.5,893
244.4,1063,244.4,206,244.4,301,244.4,424,244.4,593,244.4,666,244.4,712,244.4,846,244.4,835
247.2,992,247.2,191,247.2,289,247.2,407,247.2,610,247.2,660,247.2,692,247.2,736,247.2,822
250,965,250,189,250,314,250,435,250,599,250,624,250,702,250,775,250,870
252.9,962,252.9,176,252.9,288,252.9,388,252.9,629,252.9,602,252.9,671,252.9,765,252.9,811
255.7,956,255.7,178,255.7,276,255.7,417,255.7,605,255.7,587,255.7,726,255.7,735,255.7,857
258.6,957,258.6,174,258.6,259,258.6,396,258.6,609,258.6,600,258.6,676,258.6,755,258.6,839
261.4,924,261.4,177,261.4,242,261.4,369,261.4,588,261.4,619,261.4,706,261.4,782,261.4,908
264.2,937,264.2,160,264.2,264,264.2,370,264.2,594,264.2,599,264.2,690,264.2,741,264.2,816
267.1,910,267.1,167,267.1,268,267.1,392,267.1,561,267.1,569,267.1,677,267.1,762,267.1,801
269.9,930,269.9,165,269.9,270,269.9,370,269.9,588,269.9,590,269.9,678,269.9,713,269.9,807
272.7,835,272.7,156,272.7,274,272.7,380,272.7,575,272.7,551,272.7,684,272.7,713,272.7,848
275.6,898,275.6,181,275.6,237,275.6,365,275.6,564,275.6,583,275.6,695,275.6,709,275.6,790
278.4,886,278.4,147,278.4,238,278.4,368,278.4,553,278.4,596,278.4,687,278.4,748,278.4,822
281.2,908,281.2,164,281.2,256,281.2,345,281.2,542,281.2,551,281.2,672,281.2,750,281.2,749
284.1,887,284.1,192,284.1,228,284.1,380,284.1,584,284.1,578,284.1,658,284.1,728,284.1,798
286.9,871,286.9,200,286.9,240,286.9,392,286.9,598,286.9,592,286.9,679,286.9,739,286.9,771
289.8,893,289.8,153,289.8,266,289.8,405,289.8,606,289.8,573,289.8,639,289.8,704,289.8,727
292.6,838,292.6,169,292.6,219,292.6,346,292.6,554,292.6,594,292.6,676,292.6,693,292.6,789
295.4,866,295.4,175,295.4,256,295.4,357,295.4,591,295.4,599,295.4,669,295.4,752,295.4,746
298.3,911,298.3,168,298.3,252,298.3,354,298.3,581,298.3,596,298.3,684,298.3,717,298.3,754
301.1,889,301.1,150,301.1,277,301.1,370,301.1,537,301.1,591,301.1,663,301.1,671,301.1,779
303.9,868,303.9,183,303.9,233,303.9,379,303.9,508,303.9,566,303.9,591,303.9,705,303.9,763
306.8,821,306.8,175,306.8,232,306.8,378,306.8,533,306.8,603,306.8,650,306.8,689,306.8,748
309.6,826,309.6,157,309.6,258,309.6,327,309.6,520,309.6,585,309.6,676,309.6,680,309.6,720
312.4,791,312.4,150,312.4,250,312.4,380,312.4,559,312.4,576,312.4,634,312.4,685,312.4,723
315.3,779,315.3,173,315.3,249,315.3,405,315.3,554,315.3,534,315.3,690,315.3,704,315.3,748
318.1,847,318.1,145,318.1,254,318.1,364,318.1,528,318.1,553,318.1,615,318.1,714,318.1,778
321,819,321,158,321,227,321,383,321,521,321,566,321,650,321,713,321,755
323.8,816,323.8,144,323.8,251,323.8,377,323.8,558,323.8,591,323.8,665,323.8,706,323.8,778
326.6,818,326.6,165,326.6,261,326.6,392,326.6,553,326.6,592,326.6,624,326.6,715,326.6,761
329.5,793,329.5,158,329.5,255,329.5,353,329.5,541,329.5,604,329.5,644,329.5,678,329.5,774
332.3,819,332.3,149,332.3,244,332.3,362,332.3,552,332.3,585,332.3,687,332.3,707,332.3,751
335.1,829,335.1,177,335.1,251,335.1,387,335.1,562,335.1,641,335.1,650,335.1,704,335.1,776
338,833,338,153,338,241,338,347,338,561,338,593,338,647,338,660,338,773
340.8,822,340.8,160,340.8,241,340.8,411,340.8,583,340.8,574,340.8,645,340.8,695,340.8,742
343.7,813,343.7,145,343.7,234,343.7,393,343.7,579,343.7,564,343.7,695,343.7,701,343.7,679
346.5,821,346.5,162,346.5,231,346.5,397,346.5,526,346.5,571,346.5,619,346.5,725,346.5,735
349.3,849,349.3,164,349.3,242,349.3,391,349.3,534,349.3,598,349.3,686,349.3,670,349.3,774
352.2,812,352.2,142,352.2,231,352.2,379,352.2,575,352.2,577,352.2,674,352.2,716,352.2,752
355,807,355,131,355,227,355,357,355,622,355,553,355,679,355,730,355,758
357.8,792,357.8,170,357.8,230,357.8,335,357.8,580,357.8,581,357.8,696,357.8,737,357.8,798
360.7,875,360.7,167,360.7,234,360.7,379,360.7,564,360.7,598,360.7,640,360.7,719,360.7,770
363.5,818,363.5,159,363.5,233,363.5,364,363.5,571,363.5,536,363.5,638,363.5,646,363.5,786
366.3,811,366.3,147,366.3,244,366.3,371,366.3,527,366.3,601,366.3,611,366.3,700,366.3,736
369.2,873,369.2,152,369.2,246,369.2,383,369.2,542,369.2,557,369.2,658,369.2,674,369.2,756
372,799,372,160,372,227,372,350,372,572,372,583,372,696,372,697,372,737
374.9,887,374.9,179,374.9,235,374.9,343,374.9,561,374.9,583,374.9,645,374.9,720,374.9,763
377.7,877,377.7,149,377.7,257,377.7,405,377.7,586,377.7,606,377.7,657,377.7,677,377.7,779
380.5,827,380.5,156,380.5,239,380.5,377,380.5,602,380.5,555,380.5,640,380.5,712,380.5,781
383.4,833,383.4,162,383.4,260,383.4,393,383.4,577,383.4,587,383.4,651,383.4,730,383.4,776
386.2,820,386.2,153,386.2,259,386.2,407,386.2,594,386.2,574,386.2,634,386.2,715,386.2,786
389,893,389,157,389,258,389,371,389,536,389,605,389,689,389,722,389,728
391.9,888,391.9,149,391.9,226,391.9,427,391.9,574,391.9,606,391.9,669,391.9,718,391.9,758
394.7,831,394.7,160,394.7,226,394.7,387,394.7,623,394.7,565,394.7,677,394.7,761,394.7,731
397.5,856,397.5,161,397.5,243,397.5,403,397.5,602,397.5,601,397.5,677,397.5,764,397.5,797
400.4,914,400.4,162,400.4,247,400.4,374,400.4,549,400.4,599,400.4,657,400.4,723,400.4,811
403.2,878,403.2,168,403.2,257,403.2,388,403.2,583,403.2,588,403.2,676,403.2,751,403.2,789
406.1,897,406.1,164,406.1,250,406.1,407,406.1,581,406.1,610,406.1,664,406.1,679,406.1,802
408.9,842,408.9,146,408.9,232,408.9,405,408.9,642,408.9,625,408.9,683,408.9,732,408.9,824
411.7,902,411.7,161,411.7,238,411.7,409,411.7,557,411.7,618,411.7,659,411.7,717,411.7,815
414.6,888,414.6,156,414.6,260,414.6,393,414.6,633,414.6,656,414.6,691,414.6,732,414.6,859
417.4,888,417.4,153,417.4,291,417.4,391,417.4,620,417.4,633,417.4,725,417.4,723,417.4,828
420.2,885,420.2,165,420.2,257,420.2,414,420.2,643,420.2,618,420.2,740,420.2,746,420.2,748
423.1,809,423.1,162,423.1,260,423.1,381,423.1,606,423.1,620,423.1,676,423.1,775,423.1,769
425.9,871,425.9,171,425.9,261,425.9,405,425.9,547,425.9,569,425.9,639,425.9,779,425.9,786
428.7,885,428.7,157,428.7,276,428.7,414,428.7,573,428.7,633,428.7,652,428.7,728,428.7,799
431.6,884,431.6,166,431.6,243,431.6,373,431.6,637,431.6,648,431.6,667,431.6,732,431.6,817
434.4,851,434.4,151,434.4,233,434.4,376,434.4,559,434.4,612,434.4,651,434.4,737,434.4,780
437.3,828,437.3,143,437.3,239,437.3,382,437.3,589,437.3,599,437.3,663,437.3,725,437.3,754
440.1,807,440.1,144,440.1,248,440.1,365,440.1,609,440.1,539,440.1,623,440.1,695,440.1,751
442.9,849,442.9,151,442.9,236,442.9,382,442.9,571,442.9,595,442.9,663,442.9,703,442.9,760
445.8,804,445.8,148,445.8,237,445.8,360,445.8,578,445.8,616,445.8,618,445.8,728,445.8,739
448.6,746,448.6,144,448.6,236,448.6,369,448.6,555,448.6,550,448.6,621,448.6,616,448.6,673
451.4,657,451.4,154,451.4,231,451.4,376,451.4,562,451.4,545,451.4,590,451.4,631,451.4,692
454.3,631,454.3,108,454.3,208,454.3,348,454.3,507,454.3,487,454.3,549,454.3,629,454.3,680
457.1,606,457.1,119,457.1,208,457.1,334,457.1,534,457.1,473,457.1,562,457.1,584,457.1,652
459.9,632,459.9,129,459.9,206,459.9,323,459.9,475,459.9,482,459.9,499,459.9,569,459.9,596
462.8,520,462.8,136,462.8,198,462.8,300,462.8,438,462.8,466,462.8,523,462.8,525,462.8,571
465.6,484,465.6,124,465.6,181,465.6,292,465.6,431,465.6,434,465.6,454,465.6,526,465.6,560
468.5,461,468.5,113,468.5,188,468.5,282,468.5,383,468.5,396,468.5,475,468.5,470,468.5,524
