E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
414.6,86,414.6,160,414.6,151,414.6,137,414.6,145,414.6,128,414.6,134,414.6,126,414.6,124
417.4,96,417.4,178,417.4,155,417.4,145,417.4,133,417.4,112,417.4,122,417.4,122,417.4,123
420.2,101,420.2,137,420.2,131,420.2,144,420.2,146,420.2,116,420.2,112,420.2,96,420.2,126
423.1,100,423.1,145,423.1,154,423.1,128,423.1,126,423.1,128,423.1,109,423.1,121,423.1,98
425.9,108,425.9,158,425.9,143,425.9,168,425.9,149,425.9,117,425.9,116,425.9,107,425.9,110
428.7,88,428.7,160,428.7,138,428.7,125,428.7,113,428.7,115,428.7,112,428.7,130,428.7,117
431.6,93,431.6,156,431.6,158,431.6,161,431.6,113,431.6,130,431.6,111,431.6,121,431.6,103
434.4,88,434.4,151,434.4,125,434.4,160,434.4,127,434.4,110,434.4,122,434.4,106,434.4,118
437.3,108,437.3,139,437.3,135,437.3,150,437.3,136,437.3,131,437.3,116,437.3,105,437.3,101
440.1,111,440.1,141,440.1,116,440.1,149,440.1,128,440.1,126,440.1,106,440.1,110,440.1,104
442.9,115,442.9,148,442.9,135,442.9,161,442.9,123,442.9,109,442.9,124,442.9,105,442.9,121
445.8,101,445.8,143,445.8,149,445.8,124,445.8,103,445.8,103,445.8,106,445.8,109,445.8,99
448.6,97,448.6,147,448.6,145,448.6,140,448.6,121,448.6,109,448.6,127,448.6,101,448.6,100
451.4,100,451.4,131,451.4,121,451.4,150,451.4,128,451.4,118,451.4,113,451.4,105,451.4,97
454.3,92,454.3,112,454.3,123,454.3,129,454.3,123,454.3,98,454.3,122,454.3,114,454.3,110
457.1,106,457.1,137,457.1,136,457.1,120,457.1,120,457.1,92,457.1,109,457.1,102,457.1,97
459.9,111,459.9,139,459.9,145,459.9,156,459.9,123,459.9,119,459.9,93,459.9,111,459.9,116
462.8,115,462.8,120,462.8,139,462.8,132,462.8,131,462.8,122,462.8,129,462.8,103,462.8,91
465.6,122,465.6,128,465.6,136,465.6,133,465.6,131,465.6,124,465.6,119,465.6,113,465.6,111
468.5,119,468.5,131,468.5,128,468.5,140,468.5,129,468.5,148,468.5,139,468.5,119,468.5,125
471.3,155,471.3,137,471.3,146,471.3,160,471.3,160,471.3,163,471.3,156,471.3,150,471.3,150
474.1,189,474.1,155,474.1,158,474.1,176,474.1,179,474.1,182,474.1,174,474.1,161,474.1,172
477,224,477,171,477,188,477,198,477,211,477,210,477,225,477,191,477,236
479.8,260,479.8,174,479.8,194,479.8,207,479.8,241,479.8,256,479.8,254,479.8,241,479.8,202
482.6,330,482.6,240,482.6,218,482.6,247,482.6,269,482.6,268,482.6,285,482.6,312,482.6,309
485.5,489,485.5,223,485.5,225,485.5,286,485.5,325,485.5,334,485.5,344,485.5,340,485.5,372
488.3,534,488.3,224,488.3,269,488.3,317,488.3,379,488.3,419,488.3,373,488.3,420,488.3,447
491.1,566,491.1,275,491.1,342,491.1,390,491.1,473,491.1,486,491.1,468,491.1,472,491.1,468
494,765,494,313,494,369,494,427,494,547,494,622,494,555,494,570,494,581
496.8,814,496.8,328,496.8,415,496.8,507,496.8,565,496.8,666,496.8,648,496.8,683,496.8,671
499.7,859,499.7,358,499.7,436,499.7,517,499.7,636,499.7,786,499.7,716,499.7,740,499.7,754
502.5,1021,502.5,426,502.5,506,502.5,575,502.5,748,502.5,801,502.5,774,502.5,779,502.5,830
505.3,1160,505.3,445,505.3,519,505.3,610,505.3,828,505.3,904,505.3,838,505.3,890,505.3,906
508.2,1160,508.2,447,508.2,515,508.2,668,508.2,835,508.2,902,508.2,892,508.2,905,508.2,985
511,1265,511,439,511,551,511,658,511,824,511,1040,511,897,511,981,511,1019
513.8,1244,513.8,467,513.8,551,513.8,658,513.8,856,513.8,985,513.8,1002,513.8,908,513.8,1004
