E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
1353.4,5,1353.4,3,1353.4,0,1353.4,4,1353.4,6,1353.4,6,1353.4,8,1353.4,6,1353.4,8
1356.3,9,1356.3,2,1356.3,5,1356.3,1,1356.3,7,1356.3,5,1356.3,5,1356.3,6,1356.3,1
1359.1,4,1359.1,2,1359.1,5,1359.1,6,1359.1,5,1359.1,4,1359.1,3,1359.1,4,1359.1,4
1361.9,7,1361.9,8,1361.9,8,1361.9,3,1361.9,4,1361.9,10,1361.9,3,1361.9,4,1361.9,5
1364.8,7,1364.8,2,1364.8,6,1364.8,2,1364.8,1,1364.8,4,1364.8,2,1364.8,2,1364.8,4
1367.6,3,1367.6,4,1367.6,3,1367.6,2,1367.6,3,1367.6,4,1367.6,2,1367.6,2,1367.6,6
1370.4,5,1370.4,0,1370.4,4,1370.4,1,1370.4,4,1370.4,2,1370.4,4,1370.4,1,1370.4,7
1373.3,2,1373.3,0,1373.3,1,1373.3,1,1373.3,2,1373.3,5,1373.3,3,1373.3,0,1373.3,5
1376.1,0,1376.1,2,1376.1,1,1376.1,2,1376.1,4,1376.1,4,1376.1,1,1376.1,2,1376.1,4
1378.9,2,1378.9,0,1378.9,0,1378.9,4,1378.9,1,1378.9,1,1378.9,3,1378.9,2,1378.9,4
1381.8,2,1381.8,0,1381.8,1,1381.8,1,1381.8,4,1381.8,1,1381.8,1,1381.8,2,1381.8,0
1384.6,1,1384.6,1,1384.6,2,1384.6,1,1384.6,2,1384.6,3,1384.6,1,1384.6,3,1384.6,3
1387.5,2,1387.5,3,1387.5,0,1387.5,4,1387.5,1,1387.5,2,1387.5,3,1387.5,1,1387.5,1
1390.3,2,1390.3,2,1390.3,4,1390.3,5,1390.3,0,1390.3,2,1390.3,2,1390.3,5,1390.3,2
1393.1,375,1393.1,296,1393.1,332,1393.1,343,1393.1,367,1393.1,362,1393.1,352,1393.1,383,1393.1,362
